ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
592,18108.33,90.61,0,4.71,83.68,13,3.1,9.7,7.82,88.52,10,4503.2,0.171,7.41,387.41,1
259,8804.97,91.87,2,3.31,61.02,10,3.72,6.73,3.9,92.22,2,3438.22,0.488,5.21,144.2,1
517,14161.55,80.44,2,2.64,60.3,1,2.47,6.73,0.66,80.08,7,3000.83,0.484,2.91,419.84,1
871,13303.11,90.3,3,3.29,94.07,19,3.09,4.92,7.93,92.53,3,4703.86,0.274,1.41,235.0,1
117,10942.5,86.9,0,2.36,61.86,11,1.29,6.52,5.97,85.66,5,1688.87,0.239,8.54,474.23,1
783,15164.31,88.43,0,2.62,80.99,9,4.87,4.55,9.09,89.89,10,1298.42,0.372,8.33,341.35,1
543,15886.54,82.01,4,1.81,84.6,16,2.0,2.01,1.16,85.95,6,4669.22,0.432,2.46,111.03,1
748,13504.07,95.66,4,2.48,67.93,3,0.81,8.93,3.05,99.93,4,4611.13,0.299,6.81,393.75,1
697,16376.33,98.85,4,3.59,95.83,13,0.28,5.44,3.61,84.62,4,3731.89,0.232,7.64,152.29,0
489,19751.26,80.45,1,0.68,67.6,21,3.18,5.94,6.83,98.26,2,1983.92,0.221,6.02,450.91,1
378,11289.09,92.03,5,4.08,95.38,11,4.92,2.67,7.88,98.36,6,4879.06,0.231,3.86,479.33,1
665,12718.75,95.28,1,1.77,90.52,0,4.48,8.7,9.61,88.42,6,4061.39,0.147,8.93,378.1,1
226,5187.05,85.7,3,3.57,69.63,5,3.51,3.36,2.95,86.08,1,3695.58,0.411,6.78,313.15,1
626,16940.43,95.75,0,3.39,66.03,1,4.95,5.28,4.94,87.62,4,1891.65,0.142,7.48,340.83,1
185,12803.45,92.65,5,3.44,72.65,12,3.61,8.72,0.29,99.79,7,3052.36,0.259,6.87,271.54,1
685,11119.42,98.58,1,3.24,75.92,9,1.7,5.66,2.53,92.38,0,4290.3,0.434,7.49,133.43,0
666,6411.08,99.62,4,4.82,69.83,3,3.01,9.45,3.74,90.9,10,4441.04,0.262,2.31,471.54,1
176,18344.85,80.85,1,2.79,99.96,17,0.4,3.67,5.94,80.72,9,3245.72,0.218,9.3,231.67,1
782,10925.11,88.9,4,3.8,69.19,4,1.11,7.72,4.71,96.96,7,3091.18,0.479,3.57,225.14,1
474,15238.72,90.94,2,3.67,93.23,8,2.09,9.82,3.64,81.68,0,3790.74,0.151,8.53,176.53,0
808,7240.61,82.93,0,1.56,66.36,24,1.01,6.4,6.24,80.94,5,3113.0,0.454,9.04,496.96,1
137,19423.24,86.73,1,1.77,99.21,1,4.77,7.54,8.29,85.5,9,2670.72,0.125,6.86,477.03,1
261,7676.63,99.75,4,2.41,69.02,6,4.98,5.15,2.42,89.52,0,1341.68,0.265,6.38,239.77,1
545,7993.13,80.32,1,1.75,76.87,7,1.85,8.01,3.43,97.91,8,1504.2,0.353,1.98,204.0,0
269,17884.74,89.05,1,2.15,82.34,12,3.55,9.27,7.05,95.8,9,4041.1,0.248,4.93,422.15,1
397,18688.74,96.85,3,2.26,64.81,6,2.04,7.62,7.78,83.95,0,1098.66,0.314,6.5,269.04,1
695,8182.21,86.48,1,3.22,92.67,24,0.7,9.49,8.25,87.44,2,1209.22,0.182,1.74,487.12,0
230,12047.01,89.6,0,1.49,70.99,0,1.68,6.71,2.09,95.6,7,4618.57,0.328,2.0,460.49,1
710,16002.42,99.56,3,4.12,81.97,23,1.17,6.62,5.39,90.54,10,3815.99,0.154,9.94,403.78,1
193,18175.49,89.5,4,2.47,81.99,13,1.64,4.44,9.0,83.49,8,1016.85,0.418,3.99,135.97,1
257,10685.79,82.62,4,3.68,84.11,0,1.08,7.68,3.92,87.92,5,2248.17,0.334,4.15,380.85,1
629,12755.29,81.03,5,0.87,62.22,2,0.56,9.06,4.3,92.52,6,4053.27,0.293,3.26,494.9,1
814,16125.75,98.91,0,2.61,66.74,2,1.09,7.17,9.85,99.46,5,2670.4,0.122,6.81,249.32,1
253,15967.04,85.32,2,0.63,66.45,7,4.53,3.86,1.13,93.24,6,2875.19,0.3,5.26,452.63,1
370,16744.4,90.08,1,3.54,72.08,8,0.43,6.35,7.06,80.32,8,2835.2,0.325,8.11,263.26,1
933,13549.01,81.81,5,2.05,65.8,16,1.62,8.05,8.5,94.1,0,1808.54,0.206,5.61,488.53,1
991,6569.23,88.47,3,4.77,96.88,7,2.64,9.51,1.51,85.02,2,3885.57,0.371,1.14,361.44,1
623,18559.6,98.6,0,1.96,80.52,18,1.77,3.25,7.14,97.24,0,1412.03,0.131,5.34,138.6,0
502,17983.59,90.05,4,3.04,84.94,7,2.59,3.02,4.7,87.68,8,3029.0,0.183,1.5,291.62,1
412,16971.46,99.42,0,1.66,74.3,6,0.22,5.3,8.53,83.99,8,1679.82,0.395,8.44,119.89,0
651,6497.94,85.18,1,3.29,71.05,6,3.24,3.0,9.07,89.36,0,1186.13,0.159,2.02,258.03,1
632,8065.96,90.09,4,2.6,80.13,8,2.82,9.84,8.72,85.1,1,1572.98,0.198,2.95,466.15,1
365,16154.01,97.19,3,2.17,71.77,20,3.4,5.39,0.64,84.72,2,4477.34,0.36,5.14,192.88,1
120,5347.1,88.97,4,1.42,73.75,6,2.84,6.27,7.57,91.47,2,1704.59,0.392,2.76,480.23,0
236,19688.37,85.59,3,1.0,78.11,6,2.19,3.82,9.22,95.35,5,2113.48,0.121,5.85,139.97,1
963,10657.17,97.11,5,1.04,80.23,23,1.75,5.59,6.21,96.7,5,1552.38,0.151,5.15,365.92,0
476,15789.69,87.8,3,5.0,99.37,16,1.13,9.88,6.01,87.95,3,3942.18,0.278,9.57,486.27,0
534,18313.57,90.61,0,2.36,68.93,4,2.5,5.91,0.45,81.34,1,2781.8,0.337,1.8,361.66,1
520,10919.45,99.53,0,0.51,79.52,21,0.13,2.07,8.56,89.68,7,4774.54,0.282,6.19,459.6,0
805,9786.99,83.73,4,4.79,65.98,4,1.64,3.94,0.46,88.68,8,3657.3,0.359,7.48,496.41,1
158,14131.12,86.03,0,0.59,74.0,4,3.39,9.83,3.14,83.94,7,3125.56,0.402,2.15,356.74,1
174,13714.84,80.62,2,2.38,88.69,11,0.54,9.91,9.26,97.92,8,3626.52,0.48,6.73,412.91,1
348,11137.1,87.84,0,3.73,66.98,17,0.31,3.68,9.5,99.48,10,1161.7,0.24,8.78,112.79,1
538,14026.62,84.0,1,4.62,83.25,4,3.26,6.92,9.92,81.03,9,4802.64,0.165,8.09,270.92,1
704,19030.72,93.6,3,3.71,76.67,18,1.99,2.62,4.76,95.91,7,4825.72,0.206,9.42,215.31,1
542,12014.6,83.63,1,2.59,62.06,3,4.01,6.62,1.77,92.91,0,2104.56,0.159,7.49,429.67,1
497,7951.13,93.5,2,4.88,97.32,19,4.69,3.01,4.88,85.23,3,3513.18,0.258,4.55,371.03,1
944,10658.09,85.27,5,0.68,76.54,2,4.79,8.55,1.02,92.7,4,1807.66,0.449,9.28,345.77,1
245,10911.6,87.1,0,4.94,91.36,11,2.13,9.52,8.73,82.57,7,3189.89,0.239,3.03,472.62,1
615,6966.63,86.98,0,4.32,76.65,16,1.32,3.38,5.61,81.39,9,4083.16,0.16,6.25,135.55,1
588,7443.07,94.34,1,4.68,97.49,6,3.04,5.7,4.05,99.87,7,4759.29,0.309,7.89,481.54,1
526,15268.43,89.33,4,1.65,71.62,15,3.14,2.82,0.8,92.73,3,2356.87,0.497,8.85,140.31,1
827,10092.17,87.23,2,1.14,76.49,17,3.11,4.71,4.05,85.06,8,3774.02,0.175,9.25,238.81,1
340,19323.48,97.05,3,3.48,90.35,16,1.61,2.52,8.66,89.0,7,3865.71,0.411,1.76,352.11,1
959,8653.95,91.44,0,2.82,73.75,9,0.32,4.12,7.03,99.0,8,1884.6,0.429,7.53,236.59,1
398,6483.87,84.28,4,2.85,74.57,19,1.05,9.92,0.82,88.77,6,3516.13,0.261,2.84,373.01,1
591,16302.57,98.0,0,4.66,99.79,18,0.77,2.36,1.6,98.01,7,3621.69,0.348,8.01,410.17,0
569,18215.54,86.85,4,3.29,82.22,8,0.62,8.87,3.92,97.38,3,4056.3,0.273,7.31,431.4,1
865,9171.7,80.78,0,1.9,87.58,18,4.63,2.62,1.01,86.88,4,4999.79,0.205,2.63,171.74,1
495,8031.32,89.89,5,2.3,85.74,22,0.07,6.23,9.34,93.92,3,1160.93,0.27,8.5,172.83,0
356,7786.49,82.48,1,1.1,93.12,20,3.01,5.62,6.52,93.21,2,1809.22,0.138,5.16,120.93,0
119,12830.18,84.77,1,1.37,94.47,18,4.74,9.45,0.95,95.42,7,1580.31,0.383,5.89,296.34,0
427,12026.25,94.94,2,1.15,82.53,19,1.8,3.59,7.88,87.32,4,1617.74,0.432,9.74,155.01,0
844,8891.6,82.62,0,4.15,71.78,20,2.64,3.44,3.68,81.04,1,2816.99,0.223,6.91,227.44,1
108,5677.6,96.14,0,3.67,60.91,7,3.48,7.99,2.45,83.42,0,4514.15,0.327,6.3,436.17,1
907,12222.37,98.74,3,2.89,84.58,18,1.59,7.81,5.7,92.33,9,2794.89,0.193,1.15,479.46,1
589,19389.99,92.13,1,2.18,93.02,4,2.39,7.59,0.13,95.5,4,3673.92,0.151,2.79,428.83,1
226,14787.79,94.21,2,3.51,78.02,8,4.09,2.21,4.65,95.12,6,2506.0,0.365,1.24,100.26,1
372,12432.6,94.27,4,4.16,66.59,23,3.73,4.08,8.44,91.67,9,2278.65,0.154,4.0,327.21,1
599,6660.38,99.86,0,4.47,71.52,7,4.04,8.72,9.28,81.7,1,4336.94,0.413,4.1,166.66,1
384,8786.54,86.83,2,2.96,80.4,21,4.94,6.81,3.43,80.35,10,3622.19,0.209,5.77,250.3,1
197,9421.61,83.26,1,4.19,93.47,10,1.85,6.82,6.42,95.64,7,2403.58,0.427,7.21,271.17,1
700,16472.05,90.38,2,2.8,66.87,5,3.74,4.37,2.27,90.99,7,4656.64,0.247,2.61,477.18,1
705,18150.66,90.66,1,2.64,84.49,2,3.01,4.08,5.6,95.65,4,2994.05,0.248,6.41,353.5,1
207,18524.63,83.56,0,4.39,90.13,13,3.33,9.57,2.54,83.26,7,1753.1,0.4,9.25,207.06,1
353,19768.53,92.26,0,2.24,97.44,11,3.7,7.82,5.71,88.15,2,2932.89,0.304,2.67,357.12,0
319,19735.5,80.28,5,2.28,64.67,12,3.75,3.01,1.72,98.38,3,3698.8,0.18,6.93,480.75,1
694,19294.99,98.55,0,1.87,97.06,1,4.43,9.5,9.41,83.43,10,2468.45,0.44,1.41,123.66,1
757,6077.33,85.29,4,2.83,84.06,6,1.75,6.66,8.87,81.23,3,4375.14,0.236,5.78,426.4,1
755,7066.9,80.79,5,2.95,90.67,0,3.27,4.67,3.37,93.07,7,3132.58,0.141,7.67,186.76,1
945,9567.0,82.16,2,3.47,62.15,7,1.4,5.18,7.77,91.89,10,2871.06,0.266,1.31,161.24,1
792,13293.47,84.8,1,2.44,80.25,23,2.97,7.8,0.96,99.04,6,4434.85,0.33,4.0,459.55,1
388,6454.67,85.48,4,1.48,84.91,3,3.76,5.01,7.4,98.13,3,2851.67,0.344,8.9,100.74,1
197,17686.95,80.66,5,4.4,72.27,17,3.96,6.63,2.82,94.99,9,2657.64,0.434,3.03,396.43,1
653,14251.34,85.59,0,2.06,77.27,0,2.1,7.68,1.36,80.38,9,1414.87,0.317,7.51,134.89,1
925,13135.47,83.86,5,4.65,82.17,14,2.54,3.56,6.78,89.61,5,2449.97,0.189,6.51,347.2,1
978,7479.67,87.57,5,1.43,82.1,23,1.67,9.55,4.7,97.92,1,2588.19,0.205,2.47,348.36,0
307,8798.83,87.7,0,3.02,61.67,8,0.85,4.85,5.3,88.67,4,1722.49,0.14,7.68,445.11,1
313,7404.68,86.78,0,2.91,77.58,4,1.3,5.35,5.21,99.24,4,3351.29,0.394,5.79,429.04,1
133,17779.0,86.56,4,4.23,68.55,14,4.56,7.59,0.59,93.05,2,1575.37,0.142,2.01,374.07,1
227,13763.42,81.79,0,1.12,96.67,6,1.54,6.87,0.51,82.19,4,1894.76,0.342,9.54,252.22,0
599,16026.94,80.5,3,4.59,99.06,22,4.87,5.52,6.01,90.19,1,3244.37,0.339,5.43,166.56,1
592,9440.49,84.04,0,2.89,71.99,21,1.21,7.2,6.24,93.91,7,2075.93,0.414,7.71,354.27,1
434,10568.79,95.13,4,3.14,67.01,16,3.62,9.22,0.47,81.31,4,3558.67,0.13,2.96,298.79,1
379,11072.82,99.82,1,2.8,68.78,15,2.87,8.4,3.78,86.89,8,3762.05,0.181,2.23,131.18,1
847,16400.22,98.57,0,0.66,79.11,15,3.48,8.59,6.13,94.34,5,2205.16,0.464,7.67,482.22,0
514,16585.29,90.08,0,2.74,94.98,18,3.22,4.07,6.57,83.14,7,1349.55,0.329,7.06,225.77,1
828,8102.2,90.64,1,1.69,80.0,11,3.53,5.36,8.28,86.97,8,2957.81,0.283,3.47,100.86,1
967,19123.08,86.29,3,2.04,62.22,24,4.53,6.43,4.21,93.8,1,1371.59,0.399,7.72,460.68,1
385,6809.83,95.48,0,3.42,61.6,8,2.82,2.35,5.48,95.51,4,3060.94,0.461,5.54,330.82,1
282,18441.83,95.3,4,2.74,69.1,0,0.34,8.16,5.79,90.37,8,3904.87,0.205,4.14,393.22,1
958,6505.93,96.89,3,0.92,93.71,17,1.35,4.59,3.12,99.14,6,3481.32,0.461,8.08,161.07,0
671,8968.1,97.91,1,0.83,84.86,16,3.54,4.26,0.54,98.51,2,2793.07,0.143,6.55,261.84,0
362,17697.18,88.69,5,1.34,82.52,24,2.47,4.07,0.04,89.47,9,4783.43,0.491,5.57,358.02,1
660,7692.38,95.34,3,1.36,72.76,9,2.74,4.27,8.36,83.21,2,1406.99,0.166,7.96,200.39,1
564,11203.52,96.13,4,3.24,97.18,10,2.98,4.7,2.0,95.46,10,4520.01,0.206,5.9,380.6,1
915,11747.89,86.17,1,1.3,73.25,14,1.91,6.84,6.3,84.86,7,4200.52,0.139,9.45,193.45,1
330,8678.88,98.58,4,4.47,93.4,9,3.87,6.67,5.77,96.86,3,2678.95,0.421,8.36,183.65,0
993,15653.68,81.89,3,1.44,95.84,19,3.62,4.05,4.0,91.74,2,1611.47,0.494,4.22,104.65,1
943,17770.02,99.89,5,0.91,79.33,10,3.57,3.65,8.33,87.88,9,1623.47,0.219,5.18,212.76,1
262,18118.63,95.4,2,4.44,95.77,19,3.58,8.61,6.98,91.13,5,4687.22,0.23,9.62,198.69,1
248,10089.83,81.87,4,1.83,71.07,10,4.45,2.74,0.23,90.66,8,1934.82,0.212,9.06,405.74,1
580,12962.76,93.12,2,2.41,86.34,5,2.98,6.1,7.77,98.49,9,4496.46,0.162,2.72,327.88,1
140,8726.1,80.68,0,4.82,63.52,24,4.84,6.16,5.07,84.29,0,3013.18,0.415,3.47,171.13,1
369,8671.95,95.4,0,4.75,78.96,13,0.6,6.59,3.47,98.56,7,2846.94,0.124,4.28,327.25,0
492,7418.81,95.98,5,3.72,68.69,17,3.16,9.09,7.27,80.63,3,3478.05,0.487,8.92,190.18,1
973,19100.29,92.05,4,0.81,62.51,14,3.58,6.99,6.86,95.38,9,1860.16,0.471,9.35,270.2,1
994,18319.83,97.14,2,3.17,60.15,8,2.39,9.79,3.11,98.39,2,2713.48,0.147,8.22,455.28,1
236,16660.38,81.96,4,4.95,72.99,24,1.44,8.97,9.83,87.88,0,4753.94,0.312,3.48,387.7,1
903,12764.92,85.52,0,4.76,83.58,9,2.75,3.72,6.49,81.46,7,1953.03,0.497,8.98,360.44,1
181,12359.12,88.28,0,0.98,78.21,24,1.82,3.93,6.06,96.09,6,4686.33,0.441,1.3,212.59,0
774,12946.18,80.85,3,2.28,72.07,10,4.55,4.76,0.7,96.86,6,4976.84,0.386,4.81,149.83,1
861,13048.52,88.96,3,1.92,99.65,0,1.78,5.13,2.79,86.73,2,1207.63,0.109,4.4,401.18,1
902,11518.45,85.3,5,1.08,97.58,0,0.88,6.42,4.47,90.37,5,3125.52,0.127,5.82,327.16,1
301,6976.32,87.85,4,3.63,65.03,24,2.88,3.86,6.31,96.19,10,1687.28,0.418,6.05,349.1,1
904,6884.96,88.5,1,1.73,76.6,13,1.98,3.78,5.13,83.84,8,3486.86,0.251,3.03,490.05,1
204,19283.75,97.59,4,2.05,85.95,9,0.48,5.05,7.63,92.58,10,4958.17,0.367,2.84,239.33,1
567,12230.46,85.41,2,0.91,89.34,20,2.82,7.38,2.63,88.61,3,4587.52,0.396,8.23,420.3,0
523,19298.08,97.87,4,2.74,74.65,15,2.69,7.51,7.02,83.49,9,4699.39,0.269,1.69,323.58,1
384,7453.65,88.52,1,1.21,89.85,16,0.87,9.81,8.17,96.63,4,1853.4,0.157,5.44,194.1,0
119,13316.25,86.56,0,2.44,64.97,17,2.99,3.62,7.65,86.49,10,3169.28,0.255,2.72,121.16,1
795,8115.76,90.05,0,1.15,73.27,4,2.84,5.14,7.71,98.69,9,1939.32,0.448,3.88,346.4,1
402,8797.77,88.35,5,4.79,88.66,2,3.87,9.72,8.89,91.38,1,4597.7,0.232,3.5,219.05,1
696,5450.82,85.15,0,1.15,85.03,18,1.81,7.52,0.84,90.29,10,1764.62,0.125,7.38,378.19,0
469,6784.3,90.05,5,2.85,93.49,0,1.24,6.74,6.97,88.47,6,1615.84,0.484,5.1,380.29,0
436,18752.73,83.04,4,1.39,61.87,17,4.76,6.32,9.69,88.01,8,1048.65,0.372,3.69,282.18,1
898,9822.99,87.04,0,0.84,66.98,3,2.81,2.6,5.74,96.36,6,1727.79,0.316,8.48,314.56,1
185,14121.94,91.32,5,1.41,61.94,6,0.14,9.15,2.17,93.55,2,1759.05,0.432,1.77,350.62,0
763,11975.21,88.27,0,0.75,67.68,17,4.1,7.0,9.99,95.47,10,1309.96,0.264,7.9,287.44,1
772,11006.77,96.48,0,1.13,60.17,15,0.98,6.57,1.75,88.42,1,4470.96,0.494,3.23,450.95,0
442,12978.29,85.13,3,2.72,80.17,19,3.93,6.32,3.36,85.23,8,4119.99,0.443,9.26,130.37,1
336,7808.58,99.4,1,3.43,81.13,15,3.53,5.14,1.72,81.74,2,2017.93,0.212,1.05,491.93,1
104,19829.06,95.69,1,0.89,86.32,1,4.84,4.04,4.65,95.53,8,4133.03,0.248,6.01,113.38,1
944,17274.62,99.35,1,2.48,75.4,20,4.83,8.04,4.19,88.31,4,2688.66,0.21,6.6,183.24,1
953,16124.22,96.76,3,3.12,60.13,5,1.37,6.08,4.91,90.18,2,4102.08,0.364,6.2,383.32,1
317,12031.39,82.84,0,1.55,86.96,3,3.83,2.27,9.28,89.39,2,2292.03,0.356,8.34,133.98,1
128,7293.16,90.53,1,2.17,62.17,21,1.58,5.19,4.78,88.62,3,3258.62,0.309,2.01,204.87,0
210,18809.99,83.4,3,0.82,94.65,4,3.15,9.43,5.15,93.68,9,2526.44,0.486,4.74,161.59,1
160,10120.81,96.36,2,1.49,60.91,13,2.99,4.99,8.87,92.17,8,1750.7,0.289,8.77,389.43,1
848,5751.6,91.68,4,2.6,81.22,12,0.27,5.31,8.18,99.44,7,3342.53,0.413,9.0,331.57,0
903,10136.06,85.27,1,4.96,95.8,19,0.03,6.99,2.4,82.78,6,4003.32,0.363,5.49,125.79,1
238,16916.86,98.59,3,4.98,82.9,1,0.29,8.41,0.13,91.47,4,4012.43,0.307,6.02,284.05,1
772,14340.63,82.3,4,4.91,84.34,2,0.64,7.35,6.29,81.26,9,2425.16,0.117,7.88,183.4,1
261,16262.58,91.28,2,2.4,87.26,10,1.29,8.8,8.45,96.16,3,3074.85,0.363,8.02,487.08,0
430,16904.53,94.42,1,0.86,64.9,11,4.53,2.91,5.53,92.33,10,4055.11,0.357,8.99,143.17,1
640,8179.32,81.18,3,1.96,87.0,19,2.59,9.4,2.11,88.57,4,1217.99,0.15,8.59,339.22,1
748,18856.75,91.96,3,1.57,95.21,15,3.98,9.23,7.41,96.04,3,1287.55,0.418,4.73,292.74,0
887,11569.84,96.32,0,0.56,98.97,3,4.19,6.15,6.7,89.1,5,2504.89,0.287,6.85,331.23,0
140,14585.2,81.35,3,0.93,77.72,24,3.67,7.0,5.65,84.56,8,1893.89,0.23,5.35,482.6,1
276,5034.63,90.24,0,2.54,73.78,11,1.96,3.7,8.63,89.45,7,2498.58,0.43,2.06,236.51,1
352,19900.53,85.17,3,2.03,90.13,24,4.32,5.58,7.84,81.42,8,1375.01,0.237,8.4,399.51,1
379,9213.45,93.26,5,1.31,81.71,24,3.71,3.62,6.68,97.96,0,3368.03,0.349,6.42,278.99,0
999,5930.95,82.37,3,3.72,70.29,1,3.72,2.18,6.65,94.62,1,3686.96,0.347,1.52,364.3,1
800,11873.93,98.74,4,2.11,66.89,12,4.51,9.85,6.62,95.21,9,4167.36,0.121,7.09,246.26,1
388,6935.45,97.89,1,4.33,66.81,10,2.99,4.07,5.25,97.49,10,3602.09,0.269,3.55,190.85,1
975,7284.9,83.72,5,1.58,78.37,12,2.64,6.74,4.64,95.83,1,2585.53,0.189,1.62,133.45,1
549,14484.24,86.47,4,2.92,66.8,7,4.45,4.4,7.1,88.64,9,4739.71,0.18,6.46,140.7,1
551,10893.91,91.75,5,1.33,60.79,13,2.27,4.96,6.1,82.37,2,3905.33,0.362,7.59,483.77,1
490,18827.79,94.36,4,2.73,62.08,12,4.06,5.18,4.9,87.47,10,3110.72,0.105,5.66,415.38,1
229,9787.35,88.85,3,1.19,97.2,4,0.27,4.68,1.27,98.68,10,1827.4,0.488,1.05,197.98,0
941,15892.7,83.13,3,1.23,62.92,7,0.01,7.1,7.02,98.98,7,3595.9,0.258,6.19,311.66,1
112,11916.49,82.08,5,3.26,62.93,3,2.64,9.69,6.46,95.36,2,3366.88,0.22,1.06,385.69,1
257,14899.27,100.0,5,1.69,78.05,21,0.37,5.43,3.42,84.09,8,3733.32,0.468,9.34,241.02,1
306,13995.43,89.11,2,1.28,69.8,16,4.88,9.79,3.56,83.89,1,4124.5,0.295,3.41,276.0,1
351,12091.76,97.45,0,4.68,98.51,9,0.03,7.34,2.47,97.6,3,4660.2,0.346,8.84,387.35,0
218,19250.92,89.65,0,0.69,96.44,9,3.59,6.86,9.62,82.84,7,4796.23,0.378,1.11,190.98,0
116,10140.7,98.45,1,3.04,76.19,1,1.22,3.9,8.6,91.68,0,3520.74,0.449,1.87,310.54,0
710,7658.53,81.76,0,2.97,77.95,7,4.84,2.5,5.61,87.57,4,4863.82,0.152,5.06,184.04,1
973,15171.41,82.28,1,1.63,75.0,23,1.91,8.82,4.02,86.04,8,4645.69,0.133,7.83,101.23,1
209,17690.11,98.59,0,2.54,61.51,0,0.14,6.59,7.37,93.55,1,1010.46,0.497,9.48,376.11,0
367,5603.81,98.95,5,0.89,71.71,3,0.13,5.32,5.28,99.19,4,3550.47,0.104,5.69,382.91,0
556,11744.49,86.29,0,3.75,64.91,21,2.77,8.5,9.76,95.55,0,1713.88,0.383,4.2,498.29,1
935,18387.32,87.1,3,1.5,64.09,13,4.93,4.48,0.55,89.72,7,2180.77,0.344,1.4,172.41,1
725,16244.28,89.05,2,1.37,82.43,0,4.9,8.27,0.34,88.81,0,2190.0,0.321,6.25,395.83,1
790,19877.12,88.32,1,1.92,63.95,12,1.69,4.62,5.69,98.15,3,2932.52,0.414,4.42,479.19,1
623,12971.21,83.8,4,4.56,64.12,18,2.41,9.37,2.03,91.56,5,1043.46,0.497,9.18,357.83,1
475,14899.94,97.97,5,4.08,79.22,8,0.5,4.14,6.04,89.93,2,1943.19,0.119,5.32,485.26,1
279,9537.2,85.07,4,4.76,77.69,9,2.61,3.1,7.81,93.66,2,1116.48,0.346,7.89,497.78,1
878,19213.03,94.11,5,3.43,65.51,15,3.0,7.58,1.38,84.74,9,3602.23,0.387,8.63,420.65,1
824,10495.03,81.34,3,3.48,60.18,14,1.26,3.3,4.41,81.27,8,4557.15,0.222,1.88,499.71,1
122,16077.66,80.78,4,2.66,67.72,22,3.06,9.59,6.89,97.1,0,4991.15,0.457,4.97,350.33,1
744,11047.1,93.07,0,4.57,69.44,6,4.5,7.24,8.34,92.15,9,2794.23,0.283,9.04,298.82,1
176,13427.28,86.78,5,2.8,92.01,6,0.0,3.85,4.96,83.3,5,2040.56,0.166,4.82,467.05,1
765,15796.74,93.11,4,2.1,96.62,3,1.14,3.67,2.06,85.96,1,4412.41,0.442,6.09,432.38,1
844,12634.01,81.88,1,3.38,76.24,16,1.05,9.39,5.86,99.8,9,1452.63,0.477,8.86,144.04,1
218,18606.29,99.0,2,2.96,76.2,13,0.62,6.86,4.55,92.69,3,4896.96,0.14,3.09,221.09,0
490,11289.51,94.97,3,1.06,88.5,8,0.83,9.15,7.72,92.72,3,3859.35,0.401,9.05,204.26,0
211,14706.08,97.53,0,2.27,85.08,17,3.13,2.88,5.56,81.44,1,3015.74,0.186,4.57,442.1,0
611,10135.44,82.73,4,1.91,67.37,9,0.51,9.4,2.79,99.38,9,1386.6,0.103,6.34,193.3,1
935,11122.35,86.4,1,4.31,64.31,4,3.69,6.16,7.54,97.86,3,1072.78,0.204,3.95,221.62,1
172,11600.75,87.37,0,2.2,77.5,13,4.44,7.35,5.18,90.96,6,3178.13,0.442,5.74,307.52,1
458,6887.11,90.74,1,4.2,82.59,10,4.63,4.98,1.78,86.19,2,2655.4,0.156,1.44,130.45,1
976,6375.86,85.94,5,2.49,65.55,10,3.3,2.47,5.63,93.96,9,4370.66,0.152,1.59,484.49,1
371,15012.35,81.21,1,3.89,71.73,11,0.99,9.66,9.48,96.67,8,3569.22,0.396,4.73,296.43,1
219,14832.77,87.38,3,1.11,72.24,22,0.43,9.96,7.06,95.72,5,2727.59,0.263,4.01,176.17,0
540,14943.65,85.09,4,4.66,70.45,5,1.16,4.92,2.99,99.54,3,1904.03,0.159,6.54,208.33,1
558,5296.5,87.72,0,2.66,78.43,6,4.81,9.55,7.11,92.74,7,2921.69,0.192,1.34,419.23,1
697,9898.2,83.94,4,1.67,86.12,14,4.81,3.34,2.83,86.42,5,1651.98,0.418,2.51,353.6,1
382,7967.15,85.24,1,1.59,80.38,1,1.91,3.24,5.43,89.96,10,3668.05,0.349,2.89,285.85,1
961,16672.27,92.54,4,1.69,68.06,3,1.63,2.58,5.27,96.33,7,3422.92,0.404,4.96,232.64,1
569,17909.46,87.76,1,2.15,64.12,14,2.55,5.13,2.47,85.31,0,4240.29,0.139,3.22,460.27,1
358,8700.21,86.91,0,3.73,92.87,12,1.46,2.42,3.48,84.63,9,2798.12,0.283,2.24,409.03,0
965,15017.74,90.68,4,4.77,79.17,16,4.9,5.16,9.42,94.5,2,2114.59,0.419,6.38,387.24,1
933,6940.44,95.44,4,3.51,62.49,2,1.11,3.11,2.51,88.89,3,4345.58,0.206,7.69,278.4,1
549,9127.29,87.58,5,2.96,70.32,21,1.85,7.84,8.01,96.33,4,3763.99,0.168,7.17,492.46,1
122,7079.82,91.75,4,2.52,92.16,12,2.15,8.67,6.67,82.87,2,3826.84,0.253,3.49,384.03,1
637,9252.81,99.32,2,4.23,90.07,3,0.63,7.5,5.33,86.71,10,3112.34,0.233,8.69,269.45,1
600,15121.05,90.44,1,4.32,95.03,7,1.91,3.6,1.38,85.36,10,4503.91,0.174,6.51,484.22,1
233,18654.9,98.2,1,1.82,84.08,5,4.28,8.13,2.05,93.96,1,1911.13,0.482,6.53,458.29,0
671,8037.84,95.87,3,4.79,76.92,11,0.7,4.0,1.79,95.19,3,2606.77,0.293,2.92,395.99,1
